time,1st_sensor,2nd_sensor,3rd_sensor,4th_sensor,recordingID
2021-09-30T10:42:09.063Z,772,324,242,748,3
2021-09-30T10:42:10.291Z,134,340,172,324,3
2021-09-30T10:42:11.314Z,48,294,126,422,3
2021-09-30T10:42:12.349Z,34,54,108,146,3
2021-09-30T10:42:13.363Z,28,62,92,76,3
2021-09-30T10:42:14.386Z,26,50,98,36,3
2021-09-30T10:42:15.408Z,38,46,96,20,3
2021-09-30T10:42:16.548Z,30,46,90,16,3
2021-09-30T10:42:17.148Z,28,44,86,24,3
2021-09-30T10:42:18.068Z,28,44,110,18,3
2021-09-30T10:42:19.095Z,28,42,84,18,3
2021-09-30T10:42:20.226Z,28,48,90,14,3
2021-09-30T10:42:21.244Z,936,52,88,86,3
2021-09-30T10:42:22.367Z,308,294,108,334,3
2021-09-30T10:42:23.492Z,704,220,182,868,3
2021-09-30T10:42:24.516Z,1024,290,188,602,3
2021-09-30T10:42:25.032Z,314,184,254,808,3
2021-09-30T10:42:25.654Z,246,262,160,846,3
2021-09-30T10:42:26.052Z,842,338,128,734,3
2021-09-30T10:42:27.111Z,112,232,182,970,3
2021-09-30T10:42:28.202Z,826,238,192,558,3
2021-09-30T10:42:29.226Z,494,308,192,808,3
2021-09-30T10:42:30.247Z,936,238,214,556,3
2021-09-30T10:42:30.863Z,1006,282,126,1024,3
2021-09-30T10:42:31.374Z,686,266,186,310,3
2021-09-30T10:42:32.505Z,122,218,216,862,3
2021-09-30T10:42:33.523Z,84,56,150,82,3
2021-09-30T10:42:34.033Z,90,66,140,26,3
